"Reviews							||"	Sentiment (0=Worst, 5=Neutral 10=Best)
This movie has made me want to become a director, and Michelle Rodrigu	9.4
My all-time favorite movie. Oscar-caliber work by everyone involved, b	10.0
This movie grabbed me with the incredible opening sequence which trick	1.0
There is so much of worth in this movie that it is hard to know where 	10.0
WOW! What - a - movie !!!!!!!!!!! I'm not at all a fan of contemporary	10.0
So your bairns are away on a sleep-over ? The wife is visiting the mot	1.3
As someone who was born to a German mother and English father (who spe	4.2
These two men went thru hell and beyond and have produced the movie th	7.2
This is a really well made movie. Sumitra Bhave has always made sensib	1.0
A dying Kung Fu master sends out his last student in order to track do	9.0
this was one of the most moving movies i have ever seen. i was about 1	10.0
OK, I overrated it just a bit to offset at least one of those grumpy r	5.0
An opium den, a dirty little boy (actually a midget), prostitutes galo	1.5
Without being one of my favorites, this is good for being a change of 	10.0
Trapped: buried alive brings us to a resort that has just opened, and 	1.0
I was reviewing some old VHS tapes I have and came across The TV show 	10.0
Why a good actress like Elizabeth Berkley stars in this commonplace mo	1.0
I must confess to not having read the original M R James story althoug	3.1
It's hard to put your finger on this one. Basically I suppose it's a c	10.0
Very sweet pilot. The show reeks of Tim Burton's better films...Edward	10.0
Make no mistake, Maureen O'Sullivan is easily the most gorgeous Jane e	10.0
Gédéon and Jules Naudet wanted to film a documentary about rookie New 	10.0
The John Van Druten Broadway hit is brought to the screen with a maxim	10.0
One of those beautifully intense movies that draws us so intimately fa	10.0
Magicians is a wonderful ride from start to finish, thanks in large pa	10.0
Director Douglas Sirk once said `there's a very short distance between	10.0
This movie has the most beautiful opening sequence ever made. I've see	3.2
The inspiring story of Carl Brashear (Cuba Gooding, Jr.), a black man 	10.0
The Dentist was made on the time when almost every profession had it's	10.0
If you fast forward through the horrible singing, you will find a clas	3.4
I'm a pretty old dude, old enough to remember the taste of Oreos and C	1.0
This film has been on my wish list for ten years and I only recently f	7.6
I just watched Holly along with another movie about trafficking and ch	10.0
An excellent and accurate film... McGovern takes great pains to resear	10.0
I don't know what the previous reviewer was watching but I guess that'	10.0
Red Skelton was still another major star who made the transition from 	2.6
I reflect back to the days when I held my boyfriends hat to smell him 	10.0
This film resembles in many ways `Enemy of the State' with Will Smith 	3.8
Fragile Carne, just before his great period. Although it is sometimes 	10.0
"""Bend It Like Beckham"" is a film that got very little exposure here in"	2.7
11 Oscar nominations and zero win!!! Am yet to understand why - its no	1.0
Yes, Shakespeare would indeed have been proud. Laurence Fishburne was 	1.0
Sarah Silverman is a dangerous Bitch! She's beautiful, sexy, funny and	10.0
Loopy, but shrewd and formidable mob boss Vic (an excellent performanc	10.0
"John Water's (""Pink Flamingos""...) ""Pecker"" is the best movie I've see"	5.0
This film is a complete re-imagining of Romeo and Juliet in Tel Aviv a	10.0
I liked this film very much. The story jumps back and forth quite a bi	6.6
I saw this film at the Toronto Film Festival, where it received a stan	2.6
basically, i like Verhoeven film because in his film, i enjoy a brilli	5.0
There's so many things to fall for in Aro Tolbukhin. En la mente del a	1.4
A lot of people unfairly sh!t on this series but several of the Guinea	2.5
"""The Groove Tube"" was initially shown on video, in the first ""video th"	1.0
This show has a great storyline! It's very believable! A mans wife die	10.0
Legendary movie producer Walt Disney brought three of the world's grea	10.0
Not knowing what this film was about, I checked it out at the video st	10.0
When I saw the Exterminators of year 3000 at first time, I had no expe	1.5
"Without ""mental anachronism"", this film which I would like to find in "	3.4
This movie is just great. It's entertaining from beginning to the end,	10.0
I've seen the original English version on video. Disney's choice of vo	1.3
Hello, I was alanrickmaniac. I'm a Still Crazy-holic. It was just anot	10.0
In some ways, The Wrath of Kriemhild surpasses Siegfried's Death, but 	1.0
